Country,Year,Unit,Average Value
Austria,2007,BQ/D.P,4.94566
Austria,2008,BQ/D.P,5.78200
Austria,2009,BQ/D.P,6.16997
Austria,2010,BQ/D.P,4.93758
Austria,2011,BQ/D.P,5.91974
Austria,1986,BQ/KG,142.77832
Austria,1987,BQ/KG,102.47108
Austria,1996,BQ/KG,18.66701
Austria,1997,BQ/KG,22.52094
Austria,1998,BQ/KG,24.71183
Austria,1999,BQ/KG,20.26171
Austria,2000,BQ/KG,23.53718
Austria,2001,BQ/KG,42.06488
Austria,2002,BQ/KG,36.07110
Austria,2004,BQ/KG,24.07582
Austria,2005,BQ/KG,24.35291
Austria,2006,BQ/KG,17.26499
Austria,1986,BQ/M2,17322.75990
Austria,1984,BQ/M3,0.00120
Austria,1985,BQ/M3,0.00135
Austria,1986,BQ/M3,6.59323
Austria,1987,BQ/M3,0.00097
Austria,1988,BQ/M3,0.00094
Austria,1989,BQ/M3,0.00068
Austria,1990,BQ/M3,0.00073
Austria,1991,BQ/M3,886.57313
Austria,1992,BQ/M3,1014.41356
Austria,1993,BQ/M3,3713.05551
Austria,1994,BQ/M3,4203.08294
Austria,1995,BQ/M3,5415.36198
Austria,1996,BQ/M3,777.98784
Austria,1997,BQ/M3,736.43837
Austria,1998,BQ/M3,620.62435
Austria,1999,BQ/M3,239.85093
Austria,2000,BQ/M3,531.40694
Austria,2001,BQ/M3,2636.75093
Austria,2002,BQ/M3,4570.49719
Austria,2003,BQ/M3,2059.26002
Austria,2004,BQ/M3,1673.74154
Austria,2005,BQ/M3,188.30108
Austria,2006,BQ/M3,5291.05780
Austria,2007,BQ/M3,4994.92684
Austria,2008,BQ/M3,4872.91883
Austria,2009,BQ/M3,2837.36880
Austria,2010,BQ/M3,4037.15025
Austria,2011,BQ/M3,4102.24402
Belgium,2006,BQ/D,0.30000
Belgium,2007,BQ/D,0.30000
Belgium,1988,BQ/D.P,0.87050
Belgium,1989,BQ/D.P,0.26000
Belgium,1994,BQ/D.P,0.04992
Belgium,1995,BQ/D.P,0.00891
